month_start,subscriber_count,subscriber_count_with_card,book_event_count,book_event_per_member_with_card,estimated_book_event_count
1931-09-01,27,13,48,3.6923076923076925,76.93010507080858
1931-10-01,34,15,81,5.4,96.87494712620341
1931-11-01,36,14,54,3.857142857142857,102.57347342774477
1931-12-01,36,14,73,5.214285714285714,102.57347342774477
1932-01-01,35,13,60,4.615384615384615,99.72421027697409
1932-02-01,37,15,73,4.866666666666666,105.42273657851547
1932-03-01,35,15,99,6.6,99.72421027697409
1932-04-01,28,13,65,5.0,79.77936822157928
1932-05-01,21,11,53,4.818181818181818,59.83452616618445
1932-06-01,14,10,46,4.6,39.88968411078964
1932-07-01,12,12,70,5.833333333333333,34.19115780924826
1932-08-01,11,11,57,5.181818181818182,31.34189465847757
1932-09-01,18,11,48,4.363636363636363,51.286736713872386
1932-10-01,39,11,40,3.6363636363636362,111.12126288005683
1932-11-01,58,17,60,3.5294117647058822,165.25726274469991
1932-12-01,52,20,91,4.55,148.1616838400758
1933-01-01,74,22,91,4.136363636363637,210.84547315703094
1933-02-01,85,23,76,3.3043478260869565,242.18736781550848
1933-03-01,79,22,55,2.5,225.09178891088436
1933-04-01,80,19,41,2.1578947368421053,227.94105206165506
1933-05-01,89,22,62,2.8181818181818183,253.58442041859126
1933-06-01,82,20,55,2.75,233.63957836319645
1933-07-01,58,16,35,2.1875,165.25726274469991
1933-08-01,45,12,22,1.8333333333333333,128.21684178468098
1933-09-01,53,15,41,2.7333333333333334,151.01094699084646
1933-10-01,69,22,108,4.909090909090909,196.5991574031775
1933-11-01,84,26,134,5.153846153846154,239.3381046647378
1933-12-01,100,34,154,4.529411764705882,284.9263150770688
1934-01-01,101,37,166,4.486486486486487,287.7755782278395
1934-02-01,81,32,131,4.09375,230.79031521242575
1934-03-01,66,32,132,4.125,188.05136795086543
1934-04-01,66,34,122,3.588235294117647,188.05136795086543
1934-05-01,57,30,115,3.8333333333333335,162.40799959392922
1934-06-01,47,26,95,3.6538461538461537,133.91536808622234
1934-07-01,46,25,88,3.52,131.06610493545165
1934-08-01,42,23,72,3.130434782608696,119.6690523323689
1934-09-01,41,24,75,3.125,116.81978918159822
1934-10-01,37,23,100,4.3478260869565215,105.42273657851547
1934-11-01,45,29,107,3.689655172413793,128.21684178468098
1934-12-01,38,26,107,4.115384615384615,108.27199972928615
1935-01-01,45,26,153,5.884615384615385,128.21684178468098
1935-02-01,54,27,122,4.518518518518518,153.86021014161716
1935-03-01,58,26,115,4.423076923076923,165.25726274469991
1935-04-01,66,25,108,4.32,188.05136795086543
1935-05-01,66,27,119,4.407407407407407,188.05136795086543
1935-06-01,63,25,88,3.52,179.50357849855337
1935-07-01,61,26,75,2.8846153846153846,173.805052197012
1935-08-01,48,22,60,2.727272727272727,136.76463123699304
1935-09-01,47,24,108,4.5,133.91536808622234
1935-10-01,65,34,160,4.705882352941177,185.20210480009473
1935-11-01,84,40,177,4.425,239.3381046647378
1935-12-01,80,39,132,3.3846153846153846,227.94105206165506
1936-01-01,89,39,171,4.384615384615385,253.58442041859126
1936-02-01,105,43,162,3.7674418604651163,299.1726308309223
1936-03-01,107,41,179,4.365853658536586,304.8711571324636
1936-04-01,112,44,148,3.3636363636363638,319.1174728863171
1936-05-01,100,41,160,3.902439024390244,284.9263150770688
1936-06-01,87,39,119,3.051282051282051,247.8858941170499
1936-07-01,74,34,115,3.3823529411764706,210.84547315703094
1936-08-01,61,27,67,2.4814814814814814,173.805052197012
1936-09-01,59,27,58,2.1481481481481484,168.1065258954706
1936-10-01,71,31,92,2.967741935483871,202.29768370471885
1936-11-01,92,41,151,3.682926829268293,262.1322098709033
1936-12-01,105,45,155,3.4444444444444446,299.1726308309223
1937-01-01,94,43,139,3.2325581395348837,267.8307361724447
1937-02-01,82,41,151,3.682926829268293,233.63957836319645
1937-03-01,84,46,153,3.3260869565217392,239.3381046647378
1937-04-01,85,46,157,3.4130434782608696,242.18736781550848
1937-05-01,81,50,171,3.42,230.79031521242575
1937-06-01,67,43,135,3.13953488372093,190.9006311016361
1937-07-01,57,40,169,4.225,162.40799959392922
1937-08-01,36,31,69,2.225806451612903,102.57347342774477
1937-09-01,34,32,93,2.90625,96.87494712620341
1937-10-01,35,34,150,4.411764705882353,99.72421027697409
1937-11-01,43,42,163,3.880952380952381,122.51831548313959
1937-12-01,44,43,189,4.395348837209302,125.36757863391028
1938-01-01,47,46,210,4.565217391304348,133.91536808622234
1938-02-01,51,49,198,4.040816326530612,145.3124206893051
1938-03-01,61,54,195,3.611111111111111,173.805052197012
1938-04-01,62,50,175,3.5,176.65431534778267
1938-05-01,61,52,210,4.038461538461538,173.805052197012
1938-06-01,54,50,140,2.8,153.86021014161716
1938-07-01,43,42,180,4.285714285714286,122.51831548313959
1938-08-01,28,27,5,0.18518518518518517,79.77936822157928
1938-09-01,29,28,64,2.2857142857142856,82.62863137234996
1938-10-01,50,41,166,4.048780487804878,142.4631575385344
1938-11-01,82,45,190,4.222222222222222,233.63957836319645
1938-12-01,84,42,182,4.333333333333333,239.3381046647378
1939-01-01,90,51,267,5.235294117647059,256.43368356936196
1939-02-01,97,50,221,4.42,276.3785256247568
1939-03-01,105,52,253,4.865384615384615,299.1726308309223
1939-04-01,101,56,222,3.9642857142857144,287.7755782278395
1939-05-01,90,50,245,4.9,256.43368356936196
1939-06-01,93,45,194,4.311111111111111,264.981473021674
1939-07-01,92,46,315,6.8478260869565215,262.1322098709033
1939-08-01,63,39,8,0.20512820512820512,179.50357849855337
1939-09-01,47,34,19,0.5588235294117647,133.91536808622234
1939-10-01,51,31,62,2.0,145.3124206893051
1939-11-01,63,35,118,3.3714285714285714,179.50357849855337
1939-12-01,69,37,142,3.8378378378378377,196.5991574031775
1940-01-01,76,41,174,4.2439024390243905,216.5439994585723
1940-02-01,88,48,202,4.208333333333333,250.73515726782057
1940-03-01,93,52,222,4.269230769230769,264.981473021674
1940-04-01,86,48,162,3.375,245.03663096627918
1940-05-01,77,44,120,2.727272727272727,219.393262609343
1940-06-01,64,34,46,1.3529411764705883,182.35284164932403
1940-07-01,47,26,35,1.3461538461538463,133.91536808622234
1940-08-01,46,21,54,2.5714285714285716,131.06610493545165
1940-09-01,47,22,55,2.5,133.91536808622234
1940-10-01,67,26,113,4.346153846153846,190.9006311016361
1940-11-01,79,28,83,2.9642857142857144,225.09178891088436
1940-12-01,82,27,94,3.4814814814814814,233.63957836319645
1941-01-01,90,30,87,2.9,256.43368356936196
1941-02-01,96,30,88,2.933333333333333,273.5292624739861
1941-03-01,97,29,113,3.896551724137931,276.3785256247568
1941-04-01,102,32,125,3.90625,290.6248413786102
1941-05-01,107,36,132,3.6666666666666665,304.8711571324636
1941-06-01,94,29,113,3.896551724137931,267.8307361724447
1941-07-01,81,28,140,5.0,230.79031521242575
1941-08-01,60,21,47,2.238095238095238,170.95578904624128
1941-09-01,67,25,102,4.08,190.9006311016361
1941-10-01,99,33,157,4.757575757575758,282.0770519262981
1941-11-01,119,40,138,3.45,339.0623149417119
1941-12-01,108,36,72,2.0,307.7204202832343
